Reach,River Sta,Profile,Q Total (cfs),W.S. Elev (ft)
WFK F - Junction,2872.25*,25 Yr 24 Hr,456,810.47
WFK F - Junction,2872.25*,50 Yr 24 Hr,612.7,810.81
WFK F - Junction,2872.25*,100 Yr 24 Hr,801.9,811.16
WFK F - Junction,2872.25*,200 Yr 24 Hr,1020,811.6
WFK F - Junction,2872.25*,500 Yr 24 Hr,1337.3,811.98
WFK F - Junction,2773.63*,2 Yr 24 Hr,108.6,808.52
WFK F - Junction,2773.63*,5 Yr 24 Hr,190.9,808.89
WFK F - Junction,2773.63*,10 Yr 24 Hr,287,809.2
WFK F - Junction,2773.63*,25 Yr 24 Hr,456,809.64
WFK F - Junction,2773.63*,50 Yr 24 Hr,612.7,809.98
WFK F - Junction,2773.63*,100 Yr 24 Hr,801.9,810.33
WFK F - Junction,2773.63*,200 Yr 24 Hr,1020,810.75
WFK F - Junction,2773.63*,500 Yr 24 Hr,1337.3,811.13
WFK F - Junction,2675.02*,2 Yr 24 Hr,108.6,807.63
WFK F - Junction,2675.02*,5 Yr 24 Hr,190.9,808.02
WFK F - Junction,2675.02*,10 Yr 24 Hr,287,808.35
WFK F - Junction,2675.02*,25 Yr 24 Hr,456,808.8
WFK F - Junction,2675.02*,50 Yr 24 Hr,612.7,809.14
WFK F - Junction,2675.02*,100 Yr 24 Hr,801.9,809.49
WFK F - Junction,2675.02*,200 Yr 24 Hr,1020,809.89
WFK F - Junction,2675.02*,500 Yr 24 Hr,1337.3,810.27
WFK F - Junction,2576.41*,2 Yr 24 Hr,108.6,806.73
WFK F - Junction,2576.41*,5 Yr 24 Hr,190.9,807.12
WFK F - Junction,2576.41*,10 Yr 24 Hr,287,807.48
WFK F - Junction,2576.41*,25 Yr 24 Hr,456,807.95
WFK F - Junction,2576.41*,50 Yr 24 Hr,612.7,808.29
WFK F - Junction,2576.41*,100 Yr 24 Hr,801.9,808.64
WFK F - Junction,2576.41*,200 Yr 24 Hr,1020,809.01
WFK F - Junction,2576.41*,500 Yr 24 Hr,1337.3,809.4
WFK F - Junction,2477.80*,2 Yr 24 Hr,108.6,805.84
WFK F - Junction,2477.80*,5 Yr 24 Hr,190.9,806.22
WFK F - Junction,2477.80*,10 Yr 24 Hr,287,806.58
WFK F - Junction,2477.80*,25 Yr 24 Hr,456,807.07
WFK F - Junction,2477.80*,50 Yr 24 Hr,612.7,807.42
WFK F - Junction,2477.80*,100 Yr 24 Hr,801.9,807.76
WFK F - Junction,2477.80*,200 Yr 24 Hr,1020,808.12
WFK F - Junction,2477.80*,500 Yr 24 Hr,1337.3,808.5
WFK F - Junction,2379.18*,2 Yr 24 Hr,108.6,804.91
WFK F - Junction,2379.18*,5 Yr 24 Hr,190.9,805.3
WFK F - Junction,2379.18*,10 Yr 24 Hr,287,805.66
WFK F - Junction,2379.18*,25 Yr 24 Hr,456,806.18
WFK F - Junction,2379.18*,50 Yr 24 Hr,612.7,806.5
WFK F - Junction,2379.18*,100 Yr 24 Hr,801.9,806.83
WFK F - Junction,2379.18*,200 Yr 24 Hr,1020,807.15
WFK F - Junction,2379.18*,500 Yr 24 Hr,1337.3,807.53
WFK F - Junction,2280.57,2 Yr 24 Hr,108.6,804.09
WFK F - Junction,2280.57,5 Yr 24 Hr,190.9,804.53
WFK F - Junction,2280.57,10 Yr 24 Hr,287,804.93
WFK F - Junction,2280.57,25 Yr 24 Hr,456,805.47
WFK F - Junction,2280.57,50 Yr 24 Hr,612.7,805.83
WFK F - Junction,2280.57,100 Yr 24 Hr,801.9,806.17
WFK F - Junction,2280.57,200 Yr 24 Hr,1020,806.48
WFK F - Junction,2280.57,500 Yr 24 Hr,1337.3,806.86
WFK F - Junction,2182.37*,2 Yr 24 Hr,108.6,803.34
WFK F - Junction,2182.37*,5 Yr 24 Hr,190.9,803.81
WFK F - Junction,2182.37*,10 Yr 24 Hr,287,804.24
WFK F - Junction,2182.37*,25 Yr 24 Hr,456,804.8
WFK F - Junction,2182.37*,50 Yr 24 Hr,612.7,805.19
WFK F - Junction,2182.37*,100 Yr 24 Hr,801.9,805.53
WFK F - Junction,2182.37*,200 Yr 24 Hr,1020,805.84
WFK F - Junction,2182.37*,500 Yr 24 Hr,1337.3,806.22
WFK F - Junction,2084.17*,2 Yr 24 Hr,108.6,802.57
WFK F - Junction,2084.17*,5 Yr 24 Hr,190.9,803.04
WFK F - Junction,2084.17*,10 Yr 24 Hr,287,803.47
WFK F - Junction,2084.17*,25 Yr 24 Hr,456,804.04
WFK F - Junction,2084.17*,50 Yr 24 Hr,612.7,804.44
WFK F - Junction,2084.17*,100 Yr 24 Hr,801.9,804.79
WFK F - Junction,2084.17*,200 Yr 24 Hr,1020,805.1
WFK F - Junction,2084.17*,500 Yr 24 Hr,1337.3,805.48
WFK F - Junction,1985.98*,2 Yr 24 Hr,108.6,801.79
WFK F - Junction,1985.98*,5 Yr 24 Hr,190.9,802.26
WFK F - Junction,1985.98*,10 Yr 24 Hr,287,802.69
WFK F - Junction,1985.98*,25 Yr 24 Hr,456,803.26
WFK F - Junction,1985.98*,50 Yr 24 Hr,612.7,803.65
WFK F - Junction,1985.98*,100 Yr 24 Hr,801.9,803.99
WFK F - Junction,1985.98*,200 Yr 24 Hr,1020,804.3
WFK F - Junction,1985.98*,500 Yr 24 Hr,1337.3,804.68
WFK F - Junction,1887.78*,2 Yr 24 Hr,108.6,801
WFK F - Junction,1887.78*,5 Yr 24 Hr,190.9,801.47
WFK F - Junction,1887.78*,10 Yr 24 Hr,287,801.91
WFK F - Junction,1887.78*,25 Yr 24 Hr,456,802.47
WFK F - Junction,1887.78*,50 Yr 24 Hr,612.7,802.85
WFK F - Junction,1887.78*,100 Yr 24 Hr,801.9,803.17
WFK F - Junction,1887.78*,200 Yr 24 Hr,1020,803.47
WFK F - Junction,1887.78*,500 Yr 24 Hr,1337.3,803.85
WFK F - Junction,1789.58*,2 Yr 24 Hr,108.6,800.22
WFK F - Junction,1789.58*,5 Yr 24 Hr,190.9,800.69
WFK F - Junction,1789.58*,10 Yr 24 Hr,287,801.12
WFK F - Junction,1789.58*,25 Yr 24 Hr,456,801.67
WFK F - Junction,1789.58*,50 Yr 24 Hr,612.7,802.04
WFK F - Junction,1789.58*,100 Yr 24 Hr,801.9,802.35
WFK F - Junction,1789.58*,200 Yr 24 Hr,1020,802.64
WFK F - Junction,1789.58*,500 Yr 24 Hr,1337.3,803
WFK F - Junction,1691.38*,2 Yr 24 Hr,108.6,799.43
WFK F - Junction,1691.38*,5 Yr 24 Hr,190.9,799.9
WFK F - Junction,1691.38*,10 Yr 24 Hr,287,800.34
WFK F - Junction,1691.38*,25 Yr 24 Hr,456,800.87
WFK F - Junction,1691.38*,50 Yr 24 Hr,612.7,801.22
WFK F - Junction,1691.38*,100 Yr 24 Hr,801.9,801.52
WFK F - Junction,1691.38*,200 Yr 24 Hr,1020,801.8
WFK F - Junction,1691.38*,500 Yr 24 Hr,1337.3,802.13
WFK F - Junction,1593.18*,2 Yr 24 Hr,108.6,798.65
WFK F - Junction,1593.18*,5 Yr 24 Hr,190.9,799.12
WFK F - Junction,1593.18*,10 Yr 24 Hr,287,799.55
WFK F - Junction,1593.18*,25 Yr 24 Hr,456,800.07
WFK F - Junction,1593.18*,50 Yr 24 Hr,612.7,800.39
WFK F - Junction,1593.18*,100 Yr 24 Hr,801.9,800.67
WFK F - Junction,1593.18*,200 Yr 24 Hr,1020,800.93
WFK F - Junction,1593.18*,500 Yr 24 Hr,1337.3,801.24
WFK F - Junction,1494.98*,2 Yr 24 Hr,108.6,797.86
WFK F - Junction,1494.98*,5 Yr 24 Hr,190.9,798.34
WFK F - Junction,1494.98*,10 Yr 24 Hr,287,798.75
WFK F - Junction,1494.98*,25 Yr 24 Hr,456,799.26
WFK F - Junction,1494.98*,50 Yr 24 Hr,612.7,799.54
WFK F - Junction,1494.98*,100 Yr 24 Hr,801.9,799.79
WFK F - Junction,1494.98*,200 Yr 24 Hr,1020,800.04
WFK F - Junction,1494.98*,500 Yr 24 Hr,1337.3,800.34
WFK F - Junction,1396.79*,2 Yr 24 Hr,108.6,797.08
WFK F - Junction,1396.79*,5 Yr 24 Hr,190.9,797.55
WFK F - Junction,1396.79*,10 Yr 24 Hr,287,797.95
WFK F - Junction,1396.79*,25 Yr 24 Hr,456,798.4
WFK F - Junction,1396.79*,50 Yr 24 Hr,612.7,798.65
WFK F - Junction,1396.79*,100 Yr 24 Hr,801.9,798.89
WFK F - Junction,1396.79*,200 Yr 24 Hr,1020,799.12
WFK F - Junction,1396.79*,500 Yr 24 Hr,1337.3,799.4
WFK F - Junction,1298.59*,2 Yr 24 Hr,108.6,796.28
WFK F - Junction,1298.59*,5 Yr 24 Hr,190.9,796.75
WFK F - Junction,1298.59*,10 Yr 24 Hr,287,797.12
WFK F - Junction,1298.59*,25 Yr 24 Hr,456,797.54
WFK F - Junction,1298.59*,50 Yr 24 Hr,612.7,797.78
WFK F - Junction,1298.59*,100 Yr 24 Hr,801.9,797.97
WFK F - Junction,1298.59*,200 Yr 24 Hr,1020,798.18
WFK F - Junction,1298.59*,500 Yr 24 Hr,1337.3,798.45
WFK F - Junction,1200.39*,2 Yr 24 Hr,108.6,795.49
WFK F - Junction,1200.39*,5 Yr 24 Hr,190.9,795.96
WFK F - Junction,1200.39*,10 Yr 24 Hr,287,796.34
WFK F - Junction,1200.39*,25 Yr 24 Hr,456,796.47
WFK F - Junction,1200.39*,50 Yr 24 Hr,612.7,796.7
WFK F - Junction,1200.39*,100 Yr 24 Hr,801.9,796.97
WFK F - Junction,1200.39*,200 Yr 24 Hr,1020,797.29
WFK F - Junction,1200.39*,500 Yr 24 Hr,1337.3,797.71
WFK F - Junction,1102.19,2 Yr 24 Hr,108.6,794.74
WFK F - Junction,1102.19,5 Yr 24 Hr,190.9,795.22
WFK F - Junction,1102.19,10 Yr 24 Hr,287,795.63
WFK F - Junction,1102.19,25 Yr 24 Hr,456,795.96
WFK F - Junction,1102.19,50 Yr 24 Hr,612.7,796.28
WFK F - Junction,1102.19,100 Yr 24 Hr,801.9,796.63
WFK F - Junction,1102.19,200 Yr 24 Hr,1020,797
WFK F - Junction,1102.19,500 Yr 24 Hr,1337.3,797.48
WFK F - Junction,1003.26*,2 Yr 24 Hr,108.6,794
WFK F - Junction,1003.26*,5 Yr 24 Hr,190.9,794.48
WFK F - Junction,1003.26*,10 Yr 24 Hr,287,794.9
WFK F - Junction,1003.26*,25 Yr 24 Hr,456,795.42
WFK F - Junction,1003.26*,50 Yr 24 Hr,612.7,795.8
WFK F - Junction,1003.26*,100 Yr 24 Hr,801.9,796.19
WFK F - Junction,1003.26*,200 Yr 24 Hr,1020,796.59
WFK F - Junction,1003.26*,500 Yr 24 Hr,1337.3,797.1
WFK F - Junction,904.32* ,2 Yr 24 Hr,108.6,793.26
WFK F - Junction,904.32* ,5 Yr 24 Hr,190.9,793.75
WFK F - Junction,904.32* ,10 Yr 24 Hr,287,794.17
WFK F - Junction,904.32* ,25 Yr 24 Hr,456,794.72
WFK F - Junction,904.32* ,50 Yr 24 Hr,612.7,795.12
WFK F - Junction,904.32* ,100 Yr 24 Hr,801.9,795.52
WFK F - Junction,904.32* ,200 Yr 24 Hr,1020,795.94
WFK F - Junction,904.32* ,500 Yr 24 Hr,1337.3,796.46
WFK F - Junction,805.39* ,2 Yr 24 Hr,108.6,792.52
WFK F - Junction,805.39* ,5 Yr 24 Hr,190.9,793.01
WFK F - Junction,805.39* ,10 Yr 24 Hr,287,793.45
WFK F - Junction,805.39* ,25 Yr 24 Hr,456,794.02
WFK F - Junction,805.39* ,50 Yr 24 Hr,612.7,794.43
WFK F - Junction,805.39* ,100 Yr 24 Hr,801.9,794.86
WFK F - Junction,805.39* ,200 Yr 24 Hr,1020,795.28
WFK F - Junction,805.39* ,500 Yr 24 Hr,1337.3,795.82
WFK F - Junction,706.46* ,2 Yr 24 Hr,108.6,791.79
WFK F - Junction,706.46* ,5 Yr 24 Hr,190.9,792.29
WFK F - Junction,706.46* ,10 Yr 24 Hr,287,792.73
WFK F - Junction,706.46* ,25 Yr 24 Hr,456,793.31
WFK F - Junction,706.46* ,50 Yr 24 Hr,612.7,793.75
WFK F - Junction,706.46* ,100 Yr 24 Hr,801.9,794.19
WFK F - Junction,706.46* ,200 Yr 24 Hr,1020,794.64
WFK F - Junction,706.46* ,500 Yr 24 Hr,1337.3,795.18
WFK F - Junction,607.53* ,2 Yr 24 Hr,108.6,791.06
WFK F - Junction,607.53* ,5 Yr 24 Hr,190.9,791.58
WFK F - Junction,607.53* ,10 Yr 24 Hr,287,792.02
WFK F - Junction,607.53* ,25 Yr 24 Hr,456,792.61
WFK F - Junction,607.53* ,50 Yr 24 Hr,612.7,793.06
WFK F - Junction,607.53* ,100 Yr 24 Hr,801.9,793.53
WFK F - Junction,607.53* ,200 Yr 24 Hr,1020,794
WFK F - Junction,607.53* ,500 Yr 24 Hr,1337.3,794.55
WFK F - Junction,508.59* ,2 Yr 24 Hr,108.6,790.34
WFK F - Junction,508.59* ,5 Yr 24 Hr,190.9,790.86
WFK F - Junction,508.59* ,10 Yr 24 Hr,287,791.31
WFK F - Junction,508.59* ,25 Yr 24 Hr,456,791.92
WFK F - Junction,508.59* ,50 Yr 24 Hr,612.7,792.39
WFK F - Junction,508.59* ,100 Yr 24 Hr,801.9,792.89
WFK F - Junction,508.59* ,200 Yr 24 Hr,1020,793.41
WFK F - Junction,508.59* ,500 Yr 24 Hr,1337.3,793.94
WFK F - Junction,409.66* ,2 Yr 24 Hr,108.6,789.62
WFK F - Junction,409.66* ,5 Yr 24 Hr,190.9,790.16
WFK F - Junction,409.66* ,10 Yr 24 Hr,287,790.62
WFK F - Junction,409.66* ,25 Yr 24 Hr,456,791.26
WFK F - Junction,409.66* ,50 Yr 24 Hr,612.7,791.74
WFK F - Junction,409.66* ,100 Yr 24 Hr,801.9,792.3
WFK F - Junction,409.66* ,200 Yr 24 Hr,1020,792.87
WFK F - Junction,409.66* ,500 Yr 24 Hr,1337.3,793.38
WFK F - Junction,310.73* ,2 Yr 24 Hr,108.6,788.9
WFK F - Junction,310.73* ,5 Yr 24 Hr,190.9,789.5
WFK F - Junction,310.73* ,10 Yr 24 Hr,287,789.98
WFK F - Junction,310.73* ,25 Yr 24 Hr,456,790.65
WFK F - Junction,310.73* ,50 Yr 24 Hr,612.7,791.16
WFK F - Junction,310.73* ,100 Yr 24 Hr,801.9,791.79
WFK F - Junction,310.73* ,200 Yr 24 Hr,1020,792.45
WFK F - Junction,310.73* ,500 Yr 24 Hr,1337.3,792.94
WFK F - Junction,211.79* ,2 Yr 24 Hr,108.6,788.19
WFK F - Junction,211.79* ,5 Yr 24 Hr,190.9,788.97
WFK F - Junction,211.79* ,10 Yr 24 Hr,287,789.46
WFK F - Junction,211.79* ,25 Yr 24 Hr,456,790.16
WFK F - Junction,211.79* ,50 Yr 24 Hr,612.7,790.72
WFK F - Junction,211.79* ,100 Yr 24 Hr,801.9,791.45
WFK F - Junction,211.79* ,200 Yr 24 Hr,1020,792.19
WFK F - Junction,211.79* ,500 Yr 24 Hr,1337.3,792.62
WFK F - Junction,112.86,2 Yr 24 Hr,108.6,787.36
WFK F - Junction,112.86,5 Yr 24 Hr,190.9,788.65
WFK F - Junction,112.86,10 Yr 24 Hr,287,789.14
WFK F - Junction,112.86,25 Yr 24 Hr,456,789.88
WFK F - Junction,112.86,50 Yr 24 Hr,612.7,790.48
WFK F - Junction,112.86,100 Yr 24 Hr,801.9,791.31
WFK F - Junction,112.86,200 Yr 24 Hr,1020,792.1
WFK F - Junction,112.86,500 Yr 24 Hr,1337.3,792.54
WFK D - Junction,1052.29,2 Yr 24 Hr,63.3,808.79
WFK D - Junction,1052.29,5 Yr 24 Hr,114,809.08
WFK D - Junction,1052.29,10 Yr 24 Hr,171.1,809.35
WFK D - Junction,1052.29,25 Yr 24 Hr,271.1,809.72
WFK D - Junction,1052.29,50 Yr 24 Hr,363.5,810
WFK D - Junction,1052.29,100 Yr 24 Hr,476.9,810.34
WFK D - Junction,1052.29,200 Yr 24 Hr,604.5,811.02
WFK D - Junction,1052.29,500 Yr 24 Hr,791.9,813.61
WFK D - Junction,966.37* ,2 Yr 24 Hr,63.3,807.67
WFK D - Junction,966.37* ,5 Yr 24 Hr,114,807.99
WFK D - Junction,966.37* ,10 Yr 24 Hr,171.1,808.26
WFK D - Junction,966.37* ,25 Yr 24 Hr,271.1,808.65
WFK D - Junction,966.37* ,50 Yr 24 Hr,363.5,808.98
WFK D - Junction,966.37* ,100 Yr 24 Hr,476.9,809.75
WFK D - Junction,966.37* ,200 Yr 24 Hr,604.5,810.91
WFK D - Junction,966.37* ,500 Yr 24 Hr,791.9,813.6
WFK D - Junction,880.45* ,2 Yr 24 Hr,63.3,806.5
WFK D - Junction,880.45* ,5 Yr 24 Hr,114,806.88
WFK D - Junction,880.45* ,10 Yr 24 Hr,171.1,807.18
WFK D - Junction,880.45* ,25 Yr 24 Hr,271.1,807.56
WFK D - Junction,880.45* ,50 Yr 24 Hr,363.5,808.36
WFK D - Junction,880.45* ,100 Yr 24 Hr,476.9,809.52
WFK D - Junction,880.45* ,200 Yr 24 Hr,604.5,810.86
WFK D - Junction,880.45* ,500 Yr 24 Hr,791.9,813.59
WFK D - Junction,794.53* ,2 Yr 24 Hr,63.3,805.33
WFK D - Junction,794.53* ,5 Yr 24 Hr,114,805.74
WFK D - Junction,794.53* ,10 Yr 24 Hr,171.1,806.02
WFK D - Junction,794.53* ,25 Yr 24 Hr,271.1,806.9
WFK D - Junction,794.53* ,50 Yr 24 Hr,363.5,808.14
WFK D - Junction,794.53* ,100 Yr 24 Hr,476.9,809.44
WFK D - Junction,794.53* ,200 Yr 24 Hr,604.5,810.84
WFK D - Junction,794.53* ,500 Yr 24 Hr,791.9,813.59
WFK D - Junction,708.60* ,2 Yr 24 Hr,63.3,804.09
WFK D - Junction,708.60* ,5 Yr 24 Hr,114,804.54
WFK D - Junction,708.60* ,10 Yr 24 Hr,171.1,805.2
WFK D - Junction,708.60* ,25 Yr 24 Hr,271.1,806.7
WFK D - Junction,708.60* ,50 Yr 24 Hr,363.5,808.06
WFK D - Junction,708.60* ,100 Yr 24 Hr,476.9,809.41
WFK D - Junction,708.60* ,200 Yr 24 Hr,604.5,810.82
WFK D - Junction,708.60* ,500 Yr 24 Hr,791.9,813.59
WFK D - Junction,622.68* ,2 Yr 24 Hr,63.3,802.99
WFK D - Junction,622.68* ,5 Yr 24 Hr,114,804.07
WFK D - Junction,622.68* ,10 Yr 24 Hr,171.1,805
WFK D - Junction,622.68* ,25 Yr 24 Hr,271.1,806.64
WFK D - Junction,622.68* ,50 Yr 24 Hr,363.5,808.03
WFK D - Junction,622.68* ,100 Yr 24 Hr,476.9,809.4
